global_step,epoch,epochs,step,iters,loss,logits_loss,aux_loss,lr,epoch_eta_min
238,1,2,23800,39695,2.2897,2.2897,0.0,0.00040737,37.0
239,1,2,23900,39695,2.2145,2.2145,0.0,0.00040665,37.0
240,1,2,24000,39695,2.1402,2.1402,0.0,0.00040593,36.0
241,1,2,24100,39695,2.3491,2.3491,0.0,0.0004052,36.0
242,1,2,24200,39695,2.2064,2.2064,0.0,0.00040448,36.0
243,1,2,24300,39695,2.4359,2.4359,0.0,0.00040375,36.0
244,1,2,24400,39695,2.123,2.123,0.0,0.00040302,35.0
245,1,2,24500,39695,2.077,2.077,0.0,0.00040228,35.0
246,1,2,24600,39695,2.009,2.009,0.0,0.00040155,35.0
247,1,2,24700,39695,2.0836,2.0836,0.0,0.00040081,35.0
248,1,2,24800,39695,2.2456,2.2456,0.0,0.00040007,34.0
249,1,2,24900,39695,2.1307,2.1307,0.0,0.00039933,34.0
250,1,2,25000,39695,2.1601,2.1601,0.0,0.00039859,34.0
251,1,2,25100,39695,2.1417,2.1417,0.0,0.00039784,34.0
252,1,2,25200,39695,2.3694,2.3694,0.0,0.0003971,34.0
253,1,2,25300,39695,2.2122,2.2122,0.0,0.00039635,33.0
254,1,2,25400,39695,2.1861,2.1861,0.0,0.0003956,33.0
255,1,2,25500,39695,2.3025,2.3025,0.0,0.00039484,33.0
256,1,2,25600,39695,2.3375,2.3375,0.0,0.00039409,33.0
257,1,2,25700,39695,2.2783,2.2783,0.0,0.00039333,32.0
258,1,2,25800,39695,2.1145,2.1145,0.0,0.00039258,32.0
259,1,2,25900,39695,2.2164,2.2164,0.0,0.00039182,32.0
260,1,2,26000,39695,2.2085,2.2085,0.0,0.00039105,32.0
261,1,2,26100,39695,2.2728,2.2728,0.0,0.00039029,31.0
262,1,2,26200,39695,2.1914,2.1914,0.0,0.00038952,31.0
263,1,2,26300,39695,2.3731,2.3731,0.0,0.00038876,31.0
264,1,2,26400,39695,2.0718,2.0718,0.0,0.00038799,31.0
265,1,2,26500,39695,2.1361,2.1361,0.0,0.00038722,30.0
266,1,2,26600,39695,2.1932,2.1932,0.0,0.00038644,30.0
267,1,2,26700,39695,2.2489,2.2489,0.0,0.00038567,30.0
268,1,2,26800,39695,2.1585,2.1585,0.0,0.00038489,30.0
269,1,2,26900,39695,2.1981,2.1981,0.0,0.00038412,30.0
270,1,2,27000,39695,1.994,1.994,0.0,0.00038334,29.0
271,1,2,27100,39695,2.1769,2.1769,0.0,0.00038256,29.0
272,1,2,27200,39695,2.2198,2.2198,0.0,0.00038177,29.0
273,1,2,27300,39695,2.1277,2.1277,0.0,0.00038099,29.0
274,1,2,27400,39695,2.2183,2.2183,0.0,0.0003802,28.0
275,1,2,27500,39695,2.1719,2.1719,0.0,0.00037941,28.0
276,1,2,27600,39695,2.1988,2.1988,0.0,0.00037862,28.0
277,1,2,27700,39695,2.0579,2.0579,0.0,0.00037783,28.0
278,1,2,27800,39695,2.1098,2.1098,0.0,0.00037704,27.0
279,1,2,27900,39695,2.0878,2.0878,0.0,0.00037625,27.0
280,1,2,28000,39695,1.9359,1.9359,0.0,0.00037545,27.0
281,1,2,28100,39695,2.1663,2.1663,0.0,0.00037465,27.0
282,1,2,28200,39695,2.0719,2.0719,0.0,0.00037385,26.0
283,1,2,28300,39695,2.0369,2.0369,0.0,0.00037305,26.0
284,1,2,28400,39695,2.3381,2.3381,0.0,0.00037225,26.0
285,1,2,28500,39695,2.1911,2.1911,0.0,0.00037145,26.0
286,1,2,28600,39695,2.2672,2.2672,0.0,0.00037064,26.0
287,1,2,28700,39695,2.1428,2.1428,0.0,0.00036984,25.0
288,1,2,28800,39695,2.121,2.121,0.0,0.00036903,25.0
289,1,2,28900,39695,2.1242,2.1242,0.0,0.00036822,25.0
290,1,2,29000,39695,2.1702,2.1702,0.0,0.00036741,25.0
291,1,2,29100,39695,2.2843,2.2843,0.0,0.00036659,24.0
292,1,2,29200,39695,2.1966,2.1966,0.0,0.00036578,24.0
293,1,2,29300,39695,2.2984,2.2984,0.0,0.00036497,24.0
294,1,2,29400,39695,2.0159,2.0159,0.0,0.00036415,24.0
295,1,2,29500,39695,2.1044,2.1044,0.0,0.00036333,23.0
296,1,2,29600,39695,2.1393,2.1393,0.0,0.00036251,23.0
297,1,2,29700,39695,2.3078,2.3078,0.0,0.00036169,23.0
298,1,2,29800,39695,2.1196,2.1196,0.0,0.00036087,23.0
299,1,2,29900,39695,2.0858,2.0858,0.0,0.00036004,22.0
300,1,2,30000,39695,2.0338,2.0338,0.0,0.00035922,22.0
301,1,2,30100,39695,1.9558,1.9558,0.0,0.00035839,22.0
302,1,2,30200,39695,2.0772,2.0772,0.0,0.00035756,22.0
303,1,2,30300,39695,2.1158,2.1158,0.0,0.00035674,22.0
304,1,2,30400,39695,2.0261,2.0261,0.0,0.00035591,21.0
305,1,2,30500,39695,2.039,2.039,0.0,0.00035507,21.0
306,1,2,30600,39695,2.0512,2.0512,0.0,0.00035424,21.0
307,1,2,30700,39695,1.9809,1.9809,0.0,0.00035341,21.0
308,1,2,30800,39695,2.1555,2.1555,0.0,0.00035257,20.0
309,1,2,30900,39695,2.1964,2.1964,0.0,0.00035174,20.0
310,1,2,31000,39695,2.3708,2.3708,0.0,0.0003509,20.0
311,1,2,31100,39695,2.1041,2.1041,0.0,0.00035006,20.0
312,1,2,31200,39695,2.1049,2.1049,0.0,0.00034922,19.0
313,1,2,31300,39695,2.0807,2.0807,0.0,0.00034838,19.0
314,1,2,31400,39695,2.2292,2.2292,0.0,0.00034754,19.0
315,1,2,31500,39695,2.1347,2.1347,0.0,0.00034669,19.0
316,1,2,31600,39695,2.2171,2.2171,0.0,0.00034585,19.0
317,1,2,31700,39695,2.1841,2.1841,0.0,0.000345,18.0
318,1,2,31800,39695,2.0762,2.0762,0.0,0.00034416,18.0
319,1,2,31900,39695,2.1942,2.1942,0.0,0.00034331,18.0
320,1,2,32000,39695,2.0939,2.0939,0.0,0.00034246,18.0
321,1,2,32100,39695,1.9008,1.9008,0.0,0.00034161,17.0
322,1,2,32200,39695,2.2577,2.2577,0.0,0.00034076,17.0
323,1,2,32300,39695,2.1874,2.1874,0.0,0.00033991,17.0
324,1,2,32400,39695,1.9078,1.9078,0.0,0.00033905,17.0
325,1,2,32500,39695,1.9685,1.9685,0.0,0.0003382,16.0
326,1,2,32600,39695,2.1977,2.1977,0.0,0.00033734,16.0
327,1,2,32700,39695,2.3873,2.3873,0.0,0.00033649,16.0
328,1,2,32800,39695,2.1112,2.1112,0.0,0.00033563,16.0
329,1,2,32900,39695,2.0634,2.0634,0.0,0.00033477,15.0
330,1,2,33000,39695,1.9408,1.9408,0.0,0.00033391,15.0
331,1,2,33100,39695,2.2311,2.2311,0.0,0.00033306,15.0
332,1,2,33200,39695,1.9706,1.9706,0.0,0.00033219,15.0
333,1,2,33300,39695,2.3817,2.3817,0.0,0.00033133,15.0
334,1,2,33400,39695,2.0984,2.0984,0.0,0.00033047,14.0
335,1,2,33500,39695,2.2321,2.2321,0.0,0.00032961,14.0
336,1,2,33600,39695,2.0791,2.0791,0.0,0.00032874,14.0
337,1,2,33700,39695,2.0944,2.0944,0.0,0.00032788,14.0
338,1,2,33800,39695,2.0349,2.0349,0.0,0.00032701,13.0
339,1,2,33900,39695,2.0699,2.0699,0.0,0.00032615,13.0
340,1,2,34000,39695,2.0662,2.0662,0.0,0.00032528,13.0
341,1,2,34100,39695,2.0706,2.0706,0.0,0.00032441,13.0
342,1,2,34200,39695,2.1714,2.1714,0.0,0.00032354,12.0
343,1,2,34300,39695,2.1043,2.1043,0.0,0.00032267,12.0
344,1,2,34400,39695,2.1851,2.1851,0.0,0.0003218,12.0
345,1,2,34500,39695,2.2428,2.2428,0.0,0.00032093,12.0
346,1,2,34600,39695,2.0203,2.0203,0.0,0.00032006,11.0
347,1,2,34700,39695,2.2313,2.2313,0.0,0.00031918,11.0
348,1,2,34800,39695,2.1386,2.1386,0.0,0.00031831,11.0
349,1,2,34900,39695,1.9878,1.9878,0.0,0.00031744,11.0
350,1,2,35000,39695,1.9942,1.9942,0.0,0.00031656,11.0
351,1,2,35100,39695,2.1577,2.1577,0.0,0.00031569,10.0
352,1,2,35200,39695,2.1966,2.1966,0.0,0.00031481,10.0
353,1,2,35300,39695,2.2624,2.2624,0.0,0.00031393,10.0
354,1,2,35400,39695,2.0685,2.0685,0.0,0.00031306,10.0
355,1,2,35500,39695,2.0492,2.0492,0.0,0.00031218,9.0
356,1,2,35600,39695,2.1049,2.1049,0.0,0.0003113,9.0
357,1,2,35700,39695,2.1712,2.1712,0.0,0.00031042,9.0
358,1,2,35800,39695,2.2691,2.2691,0.0,0.00030954,9.0
359,1,2,35900,39695,2.2065,2.2065,0.0,0.00030866,8.0
360,1,2,36000,39695,2.1821,2.1821,0.0,0.00030778,8.0
361,1,2,36100,39695,1.9986,1.9986,0.0,0.0003069,8.0
362,1,2,36200,39695,2.1498,2.1498,0.0,0.00030602,8.0
